epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.0127,0.37765,2.37578,1.34814,0.70797,0.82222,0.86438,0.86357,0.53064,1.73484,0.87697,0.0801241,9.98791e-05,9.98791e-05
2,124.97,0.27117,1.49098,1.24523,0.84497,0.87155,0.92557,0.92343,0.38175,1.39242,0.71753,0.0602221,0.000197882,0.000197882
3,185.194,0.24025,1.28458,1.22332,0.86879,0.84119,0.93856,0.93354,0.40123,1.57842,0.72175,0.0403181,0.000293887,0.000293887
4,245.16,0.23205,1.07934,1.21614,0.80467,0.89841,0.93869,0.93786,0.37907,1.66337,0.71381,0.0204121,0.000387895,0.000387895
5,302.103,0.20062,0.98768,1.1916,0.91259,0.89023,0.94356,0.94158,0.35523,1.13823,0.69026,0.000504088,0.000479904,0.000479904
6,358.507,0.18303,0.86235,1.18555,0.87091,0.94428,0.94224,0.93862,0.32052,1.13002,0.67679,0.000475025,0.000475025,0.000475025
7,415.631,0.17638,0.84482,1.17201,0.89769,0.89999,0.94976,0.94878,0.36949,1.0938,0.71458,0.00047003,0.00047003,0.00047003
8,473.938,0.16063,0.77715,1.16642,0.92087,0.89758,0.96612,0.9628,0.29297,1.11275,0.66282,0.000465035,0.000465035,0.000465035
9,530.405,0.16541,0.81636,1.17987,0.91376,0.93025,0.95562,0.95435,0.33282,1.05514,0.68679,0.00046004,0.00046004,0.00046004
10,587.881,0.1499,0.69071,1.17753,0.93908,0.92225,0.96371,0.96318,0.3089,1.02803,0.66691,0.000455045,0.000455045,0.000455045
11,645.505,0.15101,0.70525,1.17502,0.90053,0.81636,0.89974,0.89813,0.28003,1.32721,0.63879,0.00045005,0.00045005,0.00045005
12,702.517,0.15241,0.67863,1.17616,0.93568,0.94136,0.97395,0.97297,0.34475,1.01111,0.69271,0.000445055,0.000445055,0.000445055
13,759.711,0.14616,0.63925,1.16883,0.93693,0.9372,0.96519,0.96451,0.29983,0.99715,0.65775,0.00044006,0.00044006,0.00044006
14,816.805,0.14064,0.57964,1.17148,0.96171,0.90634,0.9673,0.96373,0.27048,0.9073,0.63694,0.000435065,0.000435065,0.000435065
15,875.232,0.14067,0.58447,1.15003,0.96189,0.92348,0.98002,0.97675,0.27918,0.8922,0.65636,0.00043007,0.00043007,0.00043007
16,932.597,0.12932,0.51041,1.15393,0.93058,0.91132,0.95604,0.95381,0.3013,1.00899,0.68185,0.000425075,0.000425075,0.000425075
17,988.948,0.12339,0.51723,1.16021,0.93706,0.91501,0.97137,0.95356,0.27324,1.05828,0.65416,0.00042008,0.00042008,0.00042008
18,1044.07,0.12746,0.46883,1.16075,0.94686,0.93369,0.96807,0.96655,0.28013,0.93905,0.66922,0.000415085,0.000415085,0.000415085
19,1103.59,0.12879,0.4666,1.16208,0.94596,0.93318,0.97501,0.96348,0.27963,0.95437,0.65529,0.00041009,0.00041009,0.00041009
20,1158.9,0.12922,0.47961,1.16071,0.93474,0.96371,0.98025,0.97214,0.30297,0.94088,0.65814,0.000405095,0.000405095,0.000405095
21,1214.26,0.12046,0.46602,1.16205,0.88145,0.9296,0.95723,0.94966,0.29622,1.04075,0.65757,0.0004001,0.0004001,0.0004001
22,1268.85,0.11579,0.43808,1.16432,0.92975,0.94823,0.96324,0.96214,0.31967,1.0073,0.68963,0.000395105,0.000395105,0.000395105
23,1323.82,0.11678,0.43927,1.15523,0.948,0.95446,0.97804,0.97784,0.26874,0.89684,0.64348,0.00039011,0.00039011,0.00039011
24,1378.4,0.12091,0.42937,1.15539,0.9673,0.95134,0.98474,0.97924,0.3153,0.87401,0.67716,0.000385115,0.000385115,0.000385115
25,1433.91,0.1168,0.3964,1.15654,0.94914,0.93799,0.97544,0.97105,0.27763,0.99165,0.66704,0.00038012,0.00038012,0.00038012
26,1489.11,0.11679,0.39182,1.15667,0.94503,0.93293,0.97163,0.97023,0.32431,1.01607,0.69452,0.000375125,0.000375125,0.000375125
27,1545.42,0.11196,0.34936,1.16022,0.90485,0.95983,0.9801,0.97376,0.27197,0.92021,0.62806,0.00037013,0.00037013,0.00037013
28,1599.78,0.11839,0.36386,1.14737,0.95149,0.91216,0.9675,0.96732,0.33355,0.9932,0.70253,0.000365135,0.000365135,0.000365135
29,1654.74,0.11538,0.35224,1.15733,0.9734,0.93668,0.98129,0.97819,0.35121,0.88079,0.73826,0.00036014,0.00036014,0.00036014
30,1711.98,0.10267,0.36708,1.15756,0.93318,0.96001,0.97148,0.96938,0.29387,0.96519,0.69673,0.000355145,0.000355145,0.000355145
31,1767.41,0.10952,0.36438,1.15539,0.93289,0.95829,0.97427,0.96235,0.30936,0.96311,0.68543,0.00035015,0.00035015,0.00035015
32,1823.36,0.10035,0.33068,1.14747,0.96979,0.96269,0.98445,0.97968,0.27814,0.79676,0.66658,0.000345155,0.000345155,0.000345155
33,1880.67,0.10232,0.32275,1.14675,0.92303,0.94446,0.97152,0.97025,0.29154,0.97315,0.68605,0.00034016,0.00034016,0.00034016
34,1938.84,0.10564,0.33098,1.14655,0.94402,0.92925,0.97418,0.96505,0.3048,0.96674,0.70619,0.000335165,0.000335165,0.000335165
35,1993.49,0.10707,0.3323,1.1547,0.95136,0.95918,0.97666,0.94889,0.31429,0.96055,0.75786,0.00033017,0.00033017,0.00033017
36,2047.45,0.09971,0.29041,1.1469,0.94496,0.94141,0.97476,0.97182,0.30214,0.99081,0.70692,0.000325175,0.000325175,0.000325175
37,2102.12,0.10499,0.34509,1.16011,0.95661,0.93359,0.97415,0.96923,0.28767,1.04004,0.72711,0.00032018,0.00032018,0.00032018
38,2158.09,0.09661,0.35811,1.14969,0.95178,0.97651,0.98208,0.96694,0.29824,0.8323,0.71326,0.000315185,0.000315185,0.000315185
39,2213.84,0.09597,0.27996,1.15333,0.95469,0.96391,0.98344,0.97574,0.30411,0.81393,0.70951,0.00031019,0.00031019,0.00031019
40,2268.01,0.0946,0.25278,1.14614,0.9471,0.96952,0.98059,0.96858,0.3068,0.95468,0.7267,0.000305195,0.000305195,0.000305195
