epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.6733,1.90402,2.26118,2.07986,0.00279,0.21202,0.00224,0.00035,3.43223,11.7076,10.5962,0.0703448,0.00329502,0.00329502
2,69.1876,1.69165,1.74876,1.85871,0.07604,0.12434,0.04254,0.00978,2.52301,3.71658,2.92094,0.0400167,0.00630025,0.00630025
3,100.655,1.60217,1.55191,1.77499,0.29679,0.35975,0.21636,0.0642,2.27322,2.90013,2.51363,0.00935862,0.00897548,0.00897548
4,130.894,1.57638,1.53514,1.7437,0.48725,0.58322,0.56909,0.34031,1.50324,1.91777,1.76268,0.008515,0.008515,0.008515
5,160.565,1.43361,1.38266,1.62424,0.56634,0.71859,0.58328,0.4099,1.13891,1.47859,1.34332,0.00802,0.00802,0.00802
6,191.978,1.41253,1.31946,1.62305,0.64499,0.74862,0.7675,0.54035,1.09557,1.19552,1.31932,0.007525,0.007525,0.007525
7,220.447,1.32505,1.18622,1.55102,0.65973,0.68642,0.70774,0.41657,1.48524,1.36627,1.68601,0.00703,0.00703,0.00703
8,252.716,1.33668,1.19868,1.59332,0.7558,0.82455,0.8514,0.68187,0.8862,1.0778,1.19202,0.006535,0.006535,0.006535
9,281.127,1.25147,1.10713,1.5012,0.58806,0.73253,0.71624,0.51218,1.06584,1.3412,1.33166,0.00604,0.00604,0.00604
10,312.358,1.16781,1.06941,1.45842,0.73869,0.83233,0.84096,0.70049,0.80209,0.89951,1.15518,0.005545,0.005545,0.005545
11,344.159,0.92128,0.82578,1.42166,0.69296,0.80598,0.82166,0.57521,1.25272,1.11883,1.30204,0.00505,0.00505,0.00505
12,373.292,0.88455,0.75671,1.40294,0.70728,0.90829,0.89644,0.72912,0.78216,1.1025,0.98952,0.004555,0.004555,0.004555
13,403.826,0.88646,0.76044,1.41612,0.72405,0.88896,0.86521,0.72373,0.70428,0.76419,0.98367,0.00406,0.00406,0.00406
14,431.799,0.80287,0.71291,1.33512,0.8571,0.83588,0.89629,0.83181,0.42088,0.6441,0.85343,0.003565,0.003565,0.003565
15,463.053,0.74399,0.63981,1.2903,0.7797,0.84362,0.87142,0.79829,0.45387,0.68982,0.84054,0.00307,0.00307,0.00307
16,490.746,0.72178,0.62583,1.27631,0.86421,0.91235,0.9477,0.87758,0.41533,0.53197,0.75964,0.002575,0.002575,0.002575
17,522.262,0.69057,0.58846,1.25882,0.79307,0.92454,0.90626,0.85553,0.38646,0.66066,0.83345,0.00208,0.00208,0.00208
18,549.875,0.67928,0.57592,1.24921,0.8747,0.93605,0.94927,0.92021,0.30232,0.47985,0.73712,0.001585,0.001585,0.001585
19,581.5,0.65113,0.56148,1.23496,0.91156,0.93489,0.97035,0.9295,0.32794,0.46018,0.7268,0.00109,0.00109,0.00109
20,608.991,0.61187,0.51441,1.21249,0.90671,0.92074,0.96579,0.94494,0.27087,0.44701,0.72566,0.000595,0.000595,0.000595
