epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.754,1.59443,6.31163,1.46984,0.73994,0.71161,0.82083,0.67914,1.12995,5.97801,1.13901,0.0686973,0.00164751,0.00164751
2,70.7065,1.52332,5.63907,1.40863,0.76081,0.86534,0.89502,0.74109,1.01979,5.0188,1.11034,0.0368994,0.00318293,0.00318293
3,101.706,1.52339,5.64228,1.3967,0.78582,0.8308,0.88632,0.71223,1.03242,5.2542,1.09584,0.0049695,0.00458636,0.00458636
4,133.32,1.55685,5.7827,1.42412,0.68715,0.75829,0.79978,0.5966,1.32788,6.11481,1.27961,0.004406,0.004406,0.004406
5,163.634,1.5069,5.62617,1.3904,0.8463,0.86556,0.92083,0.76362,0.92718,4.55911,1.02571,0.004208,0.004208,0.004208
6,197.198,1.5007,5.48597,1.37253,0.74617,0.83274,0.90041,0.6818,1.37946,5.56654,1.29605,0.00401,0.00401,0.00401
7,226.446,1.44565,5.20754,1.36653,0.88726,0.8954,0.95525,0.81029,0.8728,4.10499,1.02512,0.003812,0.003812,0.003812
8,258.778,1.42959,5.05463,1.34611,0.86508,0.92504,0.95008,0.81855,0.82639,3.82639,1.00095,0.003614,0.003614,0.003614
9,288.834,1.41791,5.0061,1.36104,0.67997,0.80658,0.81071,0.64891,1.17739,5.83669,1.2196,0.003416,0.003416,0.003416
10,321.641,1.38473,5.05493,1.33614,0.82819,0.90571,0.92937,0.81254,0.83901,4.32047,0.9845,0.003218,0.003218,0.003218
11,351.55,1.37314,4.86166,1.33118,0.89774,0.9184,0.95812,0.83343,0.87072,3.85848,1.01006,0.00302,0.00302,0.00302
12,385.149,1.42282,4.92156,1.44511,0.87477,0.91578,0.95038,0.81859,0.86188,3.83959,1.0275,0.002822,0.002822,0.002822
13,415.02,1.37254,4.88635,1.34071,0.80147,0.89791,0.91581,0.79268,0.89529,4.4337,1.04724,0.002624,0.002624,0.002624
14,447.914,1.32623,4.55573,1.2995,0.89873,0.91952,0.96571,0.85991,0.74566,3.4593,0.95052,0.002426,0.002426,0.002426
15,477.686,1.24894,4.39286,1.28122,0.91116,0.93781,0.96796,0.83751,0.81485,3.34272,0.97015,0.002228,0.002228,0.002228
16,511.776,1.08617,3.70076,1.32801,0.90832,0.94266,0.9729,0.85465,0.74011,3.10268,0.8899,0.00203,0.00203,0.00203
17,541.5,1.02218,3.4367,1.3048,0.78727,0.92364,0.91299,0.82606,0.67935,4.12458,0.88511,0.001832,0.001832,0.001832
18,573.289,0.96187,3.17848,1.27933,0.94884,0.94859,0.9805,0.90083,0.57332,2.67802,0.81896,0.001634,0.001634,0.001634
19,602.245,0.96947,2.98296,1.27459,0.89114,0.91967,0.97772,0.90009,0.56753,3.17493,0.80652,0.001436,0.001436,0.001436
20,632.52,0.8994,2.82681,1.2311,0.93151,0.92895,0.97604,0.91009,0.55033,2.64131,0.80455,0.001238,0.001238,0.001238
21,662.076,0.91079,2.81938,1.24964,0.9586,0.96936,0.9855,0.95852,0.4164,2.30055,0.75849,0.00104,0.00104,0.00104
22,692.688,0.81355,2.57058,1.1906,0.96053,0.95602,0.98724,0.94527,0.43832,2.19451,0.71527,0.000842,0.000842,0.000842
23,723.238,0.80824,2.47792,1.18599,0.93961,0.9444,0.98647,0.96124,0.4029,2.22809,0.71961,0.000644,0.000644,0.000644
24,752.589,0.82491,2.40608,1.20856,0.94217,0.95134,0.98699,0.95473,0.42981,2.19358,0.73211,0.000446,0.000446,0.000446
25,784.592,0.83627,2.39547,1.24686,0.96777,0.98005,0.98996,0.96647,0.39905,1.93274,0.73519,0.000248,0.000248,0.000248
