epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.0425,0.57249,4.47544,1.29934,0.7972,0.77593,0.79581,0.6116,0.50445,7.78878,1.14164,0.0673793,0.000329502,0.000329502
2,72.2933,0.56265,4.31271,1.27941,0.94661,0.93885,0.97959,0.88723,0.32757,3.22107,0.81558,0.0343356,0.000619088,0.000619088
3,105.415,0.52532,4.05911,1.24644,0.93542,0.94461,0.97897,0.91798,0.25406,3.0125,0.75894,0.00124782,0.000864674,0.000864674
4,135.138,0.5446,4.13324,1.26522,0.94367,0.96025,0.98431,0.90097,0.31186,2.90988,0.79522,0.000802,0.000802,0.000802
5,168.094,0.53052,3.96377,1.24701,0.95993,0.97456,0.98803,0.92652,0.27704,2.57119,0.79398,0.000736,0.000736,0.000736
6,198.817,0.43495,3.07233,1.22485,0.95706,0.95997,0.98723,0.94298,0.24392,2.61699,0.7596,0.00067,0.00067,0.00067
7,231.871,0.43074,2.96302,1.21658,0.95195,0.96801,0.98503,0.92499,0.25888,2.73271,0.76971,0.000604,0.000604,0.000604
8,260.56,0.44759,2.84652,1.25523,0.95528,0.97236,0.99009,0.94738,0.23836,2.63389,0.75484,0.000538,0.000538,0.000538
9,291.757,0.41811,2.78587,1.19519,0.9839,0.9755,0.9926,0.95709,0.20951,2.37088,0.72311,0.000472,0.000472,0.000472
10,321.968,0.39956,2.64666,1.17192,0.97603,0.97729,0.99189,0.94357,0.23247,2.3617,0.71311,0.000406,0.000406,0.000406
11,351.03,0.41282,2.85493,1.19846,0.98536,0.97866,0.99282,0.95711,0.21429,2.25024,0.70568,0.00034,0.00034,0.00034
12,382.153,0.39844,2.53463,1.18403,0.99299,0.9685,0.99287,0.94876,0.22985,2.25545,0.71519,0.000274,0.000274,0.000274
13,411.195,0.40089,2.52503,1.18803,0.98961,0.9765,0.99316,0.96043,0.20266,2.16387,0.71373,0.000208,0.000208,0.000208
14,443.596,0.40813,2.51972,1.21746,0.98766,0.97085,0.99315,0.95998,0.21121,2.19264,0.70929,0.000142,0.000142,0.000142
15,471.902,0.39288,2.46931,1.18285,0.99173,0.98148,0.99313,0.96318,0.20353,2.12593,0.70341,7.6e-05,7.6e-05,7.6e-05
